Name: CCTV-6, URL: http://123.175.209.118:9003/hls/7/index.m3u8, IPv_Type: ipv4, Location: 中国-山西-太原, ISP: 电信, Date: None, Delay: 12086 ms, Speed: 0.04 M/s, Resolution: 1920x1080
Name: CCTV-6, URL: http://118.122.144.115:8888/newlive/live/hls/7/live.m3u8, IPv_Type: ipv4, Location: 中国-四川-绵阳, ISP: 电信, Date: None, Delay: 12557 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-6, URL: http://123.118.53.84:45237/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0, IPv_Type: ipv4, Location: 中国-北京-北京, ISP: 联通, Date: None, Delay: 6658 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-6, URL: http://123.118.55.165:45237/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0, IPv_Type: ipv4, Location: 中国-北京-北京, ISP: 联通, Date: None, Delay: 6662 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-7, URL: http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009, IPv_Type: ipv4, Location: 美国-哥伦比亚特区-哥伦比亚特区, ISP: Cogent, Date: None, Delay: 603 ms, Speed: 2.57 M/s, Resolution: 1280x720
Name: CCTV-7, URL: http://74.91.26.218:82/live/cctv7hd.m3u8, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 582 ms, Speed: 2.08 M/s, Resolution: 1920x1080
Name: CCTV-7, URL: http://113.90.154.189:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0, IPv_Type: ipv4, Location: 中国-广东-深圳, ISP: 电信, Date: None, Delay: 12791 ms, Speed: 0.41 M/s, Resolution: 1920x1080
Name: CCTV-7, URL: http://219.147.245.238:25480/newlive/live/hls/8/live.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江-绥化, ISP: 电信, Date: None, Delay: 12048 ms, Speed: 0.25 M/s, Resolution: 1280x720
Name: CCTV-7, URL: http://113.57.140.161:10081/newlive/live/hls/8/live.m3u8, IPv_Type: ipv4, Location: 中国-湖北-武汉, ISP: 联通, Date: None, Delay: 12850 ms, Speed: 0.13 M/s, Resolution: 1920x1080
Name: CCTV-7, URL: http://171.38.148.188:9003/hls/7/index.m3u8, IPv_Type: ipv4, Location: 中国-广西-钦州, ISP: 联通, Date: None, Delay: 12547 ms, Speed: 0.10 M/s, Resolution: 1920x1080
Name: CCTV-7, URL: http://223.78.65.165:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0, IPv_Type: ipv4, Location: 中国-山东-青岛, ISP: 移动, Date: None, Delay: 12648 ms, Speed: 0.09 M/s, Resolution: None
Name: CCTV-7, URL: http://58.56.162.102:4466/newlive/live/hls/8/live.m3u8, IPv_Type: ipv4, Location: 中国-山东-青岛, ISP: 电信, Date: None, Delay: 12942 ms, Speed: 0.05 M/s, Resolution: None
